NO,NAMA RUMAH,HARGA,LB,LT,KT,KM,GRS
256,Dijual Rumah Cantik Tebet Lokasi Strategis Nyaman Jalan 2 Mobil,12000000000,230,244,5,4,3
257,"Rumah Hitung Tanah di Komplek Kejaksaan Tebet Barat, Belakang Gelael, Dekat Pintu Tol MT Haryono",3300000000,170,154,5,3,2
258,"Rumah di Tebet Timur Dalam I, Jln Besar 3 Mobil, Seberang Electronic City, Lebar Muka 8 Meter",3900000000,260,146,3,1,1
259,Rumah Tua Akses Jalan 2 Mobil Di Tebet Barat Jakarta Selatan,7800000000,200,253,4,3,3
260,Rumah Brand New Di Tebet Barat,4700000000,200,150,4,4,2
261,For Sale Boarding House at Tebet & Furnished HSE-A0494,7500000000,444,200,10,10,2
262,Rumah Lama Di Tebet Barat,16000000000,400,400,5,4,4
263,"Jual Segera, Rumah Hitung Tanah Di Tebet Dalam",2600000000,120,142,3,2,1
264,"rumah siap huni dalam kompleks Tebet Mas, Tebet, Jakarta Selatan",13000000000,250,322,4,3,2
265,"Rumah 100% Baru Di Tebet, Murah, Jalan 2 Mobil, Tebet, Jakarta Selatan",4500000000,250,96,4,5,2
266,"rumah siap huni di lokasi kebon baru, tebet, jakarta selatan",3850000000,200,186,3,2,2
267,"Rumah siap huni dijual, murah, tebet, Jakarta Selatan",1900000000,125,133,3,3,1
268,Di Jual Cepat Rumah Di Tebet,15000000000,500,384,4,3,3
269,Rumah tua hitung tanah di Tebet Timur,8000000000,168,221,5,3,2
270,Rumah Bagus Dalam Kompleks Prime Tebet,15000000000,480,378,5,4,1
271,Minimalis Jalan 1 Mobil Tebet Dekat Sekolah 115,2700000000,125,90,3,3,2
272,"Tebet Rumah Mewah, Design Klasik, Siap Huni",18000000000,800,361,5,4,1
273,Dijual Rumah Di Tebet Jakarta Selatan 5 Kmr 300m2 Luas Harga Best,6500000000,300,248,5,4,0
274,Minimalis Baru Jalan 2 Mobil Tebet Timur,4500000000,250,96,5,4,1
275,Rumah Siap Huni Tebet,6500000000,200,222,4,2,1
276,Rumah Lama Tebet Timur,4000000000,200,146,3,1,1
277,"Rumah Baru, Mewah & Strategis Di Tebet Barat, JakSel",4000000000,150,120,4,3,1
278,"Rumah bagus layout nyaman banyak bonus, harga bagus di Tebet",4000000000,250,135,4,5,1
279,"Rumah cantik dgn layout nyaman, siap huni di Tebet",2700000000,210,91,5,3,0
280,"Dijual Rumah Siap Huni di Tebet, Jakarta Selatan",9000000000,470,353,9,6,3
281,Tebet Timur Rumah Lama,7500000000,200,288,4,2,1
282,Rumah Model Villa Taman Lebar Di Tebet Jaksel,5500000000,200,454,3,4,1
283,Dijual Rumah Secondary Luas di tebent Lokasi Strategis,23000000000,350,565,5,3,4
284,Dijual Rumah Mnmls Ada Mini Swpool Tebet Jaksel,65000000000,300,200,5,7,4
285,Rumah Tebet Barat,8250000000,400,230,6,4,2
286,Rumah Rasamala Turun Harga Rmh Siap Huni Blkg Bidakara Jaksel,8500000000,300,205,4,4,4
287,"Dijual Rumah 2 Lt Tebet Jaksel, Jl 2 Mobil",10750000000,200,189,5,4,3
288,"Dijual rumah di Kebun Baru, Tebet Jakarta Selatan",2458000000,165,135,4,3,1
289,"TEBET, LAPANGAN ROS, BUKIT DURI, JAKARTA SELATAN",3500000000,125,153,3,2,1
290,House mewah tebet,30000000000,815,312,10,7,1
291,Dijual Rumah Komplek Gudang Peluru Lokasi Premium Nyaman Jalan 2 Mobil,5500000000,280,216,4,3,3
292,Dijual Rumah 2lantai Di Tebet Barat Dalam Strategis Dekat Perkantoran,10000000000,300,368,4,4,4
293,"Rumah tebet timur raya, depan taman tebet",25900000000,600,1039,7,5,10
294,Rumah Siap Huni Tebet Timur,2999000000,102,102,3,3,2
295,Turun Harga Rumah Mewah Tebet Jakarta Selatan,5899000000,350,130,6,6,3
296,Cluster Cipinang Mal Bassura,3245000000,120,152,4,4,4
297,Rumah Siap Huni Tebet,5750000128,320,183,6,3,3
298,Tebet Rumah Bagus Dijual,6500000000,300,213,5,4,4
299,"Dijual rumah di tebet, jalan depan rumah 2 mobil, dekat dari jalan raya",6500000000,220,181,8,6,1
300,"4 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta",4800000000,250,170,4,4,3
301,Rumah Model Minimalis jalan Lebar,16000000000,500,420,4,4,4
302,Tebet Dalam Rumah Siap Huni Dalam Komplek,13000000000,380,312,4,3,2
303,Rumah Siap Huni Dijual Jalan 2 Mobil,7000000000,180,283,4,3,2
304,"4 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta",2800000000,250,90,4,3,2
305,"3 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta",1850000000,80,90,3,2,0
306,Dijual Rumah Tebet Timur Raya Depan Taman Honda,20999999488,613,613,9,4,2
307,Dijual Rumah Tebet Lokasi Strategis Nyaman Depan Taman Jalan 1 Mobil,4300000000,117,205,4,3,3
308,Dijual Rumah Tebet Timur Lokasi Premium Nyaman Jalan 2 Mobil,4300000000,200,145,3,3,2
309,Dijual Rumah Hitung Tanah Asem Baris Raya Lokasi Strategis Aman Jalan Raya,5500000000,300,266,6,4,4
310,Jual Rumah Di Tebet Jakarta Selatan,9000000000,470,353,9,6,3
311,"Rumah Bagus Akses Jalan 2 Mobil TERMURAH di Tebet Utara, Jaksel",3500000000,190,100,5,4,2
312,"Rumah Megah SIAP HUNI TERMURAH di Tebet Timur, Jakarta Selatan",12999000000,400,429,9,5,5
313,Rumah Siap Huni Di Asem Baris Kebon Baru Tebet Jakarta Selatan,2300000000,160,135,4,3,1
314,Tebet rumah dijual jalan 2 mobil lebar lokasi strategis,7100000000,200,256,5,3,3
315,"Rumah Cantik, Asri Dan Nyaman Tebet Utara",7000000000,350,180,3,3,0
316,Rumah Bagus Murah Sekali Cocok Utk Tempat Tinggal Dan Kost2an Tebet,1500000000,200,170,7,2,0
317,"Kb. Baru, Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12830, Indonesia",1500000000,100,80,4,2,0
318,Rumah Sederhana Siap Huni Lokasi Strategis Tebet Barat Jaksel,3500000000,150,135,4,2,0
319,Rumah Siap Huni 2lantai Akses 2mbl Lokasi Tebet Barat,4000000000,150,100,3,3,1
320,Rumah Siap Huni Akses jalan 2 mobil di asem baris tebet,4000000000,144,126,4,2,3
321,Dijual rumah tua perlu renovasi akses jalan 2mobil lokasi dekat lapangsn bola pspt,3750000000,150,135,3,2,1
322,Rumah Bagus Siap Huni Di Tebet Timur Dalam Jak Sel,4000000000,150,140,4,2,2
323,Rumah Mewah 3 Lantai Jalan Swadaya I Tebet ( FA),6000000000,450,260,7,4,1
324,"Rumah Baru 2 Lt Dekat Taman dan Pasar Tebet Barat PALING MURAH di Tebet Barat, Jakarta",2550000000,150,90,4,4,2
325,Dijual Rumah Second Strategis Tanah Luas di Tebet,23000000000,350,565,5,3,4
326,Rumah Clasic Asem Baris Tebet Jakarta Selatan Hitung Tanah Saja Setrategis Dekat Mt Haryono,9200000000,650,695,9,6,1
327,Rumah lama hitung Tanah di Tebet,7500000000,180,253,3,2,1
328,Rumah Tebet Hitung Tanah,14250000000,350,393,5,4,1
329,Brand New House Di Lokasi Iconic Tebet,4000000000,216,135,5,4,2
330,Tebet Rumah Minimalis,5850000000,220,138,4,3,2
331,Rumah Minimalis Bagus Tebet Timur,2700000000,160,90,3,3,1
332,Dijual Rumah Tebet Hitung Tanah Lokasi Strategis Jalan 1 Mobil,3250000000,200,157,7,3,1
333,Rumah tebet jalan lebar nyaman keamanan 24 jam dekat kemana mana,9800000000,350,247,4,3,2
334,Dijual Rumah Asri Komplek Tebet Mas Lokasi Premium Nyaman Jalan 2 Mobil,12000000000,350,237,4,3,2
335,Rumah dijual di Tebet Raya,18500000000,300,520,5,4,2
336,"Rumah Mewah Di Tebet Turun Harga Menjadi Rp 14,5 M, Ada Swimmung Pool",14500000000,500,307,10,7,2
337,Rumah Di Jual Di Tebet,8200000000,300,260,4,4,3
338,"Rumah Di Jual, Brand New, Tebet Barat ",2700000000,120,92,3,3,2
339,"Dijual Rumah minimalis di Bukit Duri, Tebet",2500000000,121,100,3,2,2
340,"Rumah Hoek Tebet Jakarta Mewah, Lokasi Strategis Selangkah ke Masjid",9900000000,350,250,5,3,2
341,"Rumah Tebet Jakarta Selatan, depan Lapangan, Dijual Cepat Harga BU",4200000000,285,160,5,6,1
342,Rumah Di Tengah Pusat Bisnis Dekat Jalan Gatot Subroto Jaksel,10000000000,353,535,10,10,7
343,Rumah Dalam Komplek Di Gudang Peluru - Tebet Blok N348,5000000000,220,217,3,3,1
344,"Tebet, Siap Huni, jalan 2 mobil",4300000000,250,90,4,4,2
345,Rumah 2 Lantai Lokasi Strategis Akses 2 Mbl Asem Baris Tebet,3000000000,250,125,3,2,1
346,Rumah Lama Layak Huni Akses 2 Mbl Lapangan Ros Tebet Jaksel,3000000000,130,170,4,3,1
347,Rumah Baru Design Modern Posisi Hook Lokasi Tebet Timur,3400000000,170,110,4,4,2
348,rumah baru 2lantai siap huni akses jalan 1mobil lokasi tebet timur,3200000000,150,90,3,2,1
349,Rumah Siap Huni Akses 1mobil Lokasi Tebet Timur,3000000000,150,110,4,3,2
350,Rumah Baru Siap Huni Semi Furnish Akses 1mobil Lokasi Tebet Utara,3200000000,210,91,5,3,1
351,Dijual rumah baru Lokasi tbt timur,3300000000,150,90,3,2,1
352,"Rumah Siap Huni Di Tebet, Lingkungan Nyaman",5700000000,250,190,4,3,1
353,Rumah Siap Huni Di Kebon Baru Jaksel,2100000000,188,125,6,4,1
354,Di jual Rumah di tebet,4000000000,89,175,3,3,2
355,good house at jaksel tebet,2200000000,120,220,5,3,1
356,goood house at jakarta selatan tebet,8500000000,234,300,5,4,1
357,good house at jakarta selatan tebet ,1700000000,154,204,5,2,0
358,Jual Cepat Rumah Di Tebet,10500000000,350,247,5,5,3
359,Rumah Tebet Dekat Mall Kokas BU Harga Covid,1899000000,150,135,4,2,1
360,good house at tebet,1500000000,90,121,3,2,0
361,Rumah Tebet Barat Dalam Jakarta Selatan,9000000000,399,384,3,3,1
362,Dijual Termurah Rumah Siap Huni di Tebet Utara Jakarta Selatan,3500000000,180,100,5,4,1
363,TEBET MAS Rumah Nyaman Dalam Komplek Elit Dekat Taman JARANG ADA,13000000000,250,322,4,3,2
364,"Dijual Rumah di Tebet Utara, akses 2 mobil, Jakarta Selatan",7800000000,160,261,3,4,2
365,Dijual Rumah Tebet Barat Lokasi Premium Tenang Jalan Lebar,8000000000,200,202,5,3,3
366,Dijual Murah Rumah Mewah di Tebet Utara Jakarta Selatan,8000000000,450,306,5,4,1
367,Rumah Lama Layak Huni Tebet Jak Sel,2900000000,90,135,2,1,1
368,Dijual rumah lama layak huni akses jalan lebar lokasi tebet timur,2950000000,125,135,2,1,0
369,Rumah Tua Butuh Renovasi di Tebet Timur Jak Sel,2600000000,80,130,2,1,0
370,Rumah Siap Huni Baru Renovasi Di Tebet Utara Jak Sel,2500000000,105,54,3,2,1
371,Di jual rumah 2nd siap huni akses gg motor tebet,2500000000,100,130,3,2,0
372,Rumah Siap Huni Model Minimalis Di Tebet Jakarta Selatan,2600000000,180,95,4,2,1
373,TEBET - Bagus Untuk Investasi di Jalan 1 Mobil,2700000000,120,142,3,2,1
374,Rumah di Tebet Jalan dua mobil bangunan lama,5000000000,100,220,2,1,0
375,Rumah dijual di Tebet,5900000000,340,134,5,4,3
376,Rumah huk di Tebet jalan satu mobil lebar,3000000000,250,150,3,3,2
377,Rumah baru di Tebet Barat dekat jalan dua mobil,3500000000,160,118,4,4,2
378,Rumah di Tebet Barat bagus terawat dekat fasum,3200000000,128,138,3,2,1
379,"TEBET - Siap Huni, Bagus, Akses 2 Mobil",5300000000,200,145,3,3,2
380,"TEBET - Depan Taman, Baru, Jalan 2 Mobil",6500000000,220,150,3,3,1
381,Jual Cepat Rumah Di Casablanca Jakarta Selatan,6000000000,300,284,7,3,3
382,"Rumah Baru dijual di Tebet Barat, lokasi strategis",3500000000,200,135,3,3,2
383,"Dijual Rumah Di Jl. Kebon Baru Utara, Tebet Jakarta Selatan",2780000000,192,120,5,4,2
384,For Sale..Rumah Di Tebet Timur,4900000000,215,135,9,8,0
385,Rumah baru 100% bergaya mewah tebet Jakarta selatan,3800000000,160,165,4,3,1
386,Dijual Rumah Baru Dengan Design Minimalis Di Tebet,4500000000,175,125,3,3,2
387,"Dijual Rumah Brand New, Ada Taman, Lingkungan Tenang Di Tebet Barat",6500000000,350,230,4,4,2
388,Dijual Rumah Dalam Komplek Elit Tebet Mas Lokasi Paling Premium di Tebet,5500000000,300,140,3,3,2
389,"Dijual Rumah di Tebet Utara, akses 2 mobil",7800000000,160,261,3,4,2
390,TERJUAL Rumah Di Bukit Duri Area Komersil,3900000000,150,250,4,2,2
391,DIJUAL CEPAT HARGA MURAH ( BU CEPAT) Rumah 700 m2 Di TEBET,9200000000,450,700,8,4,4
392,Dijual rumah siap huni 2lantai full strategis dekat kokas akes jalan2mobil lokasi menteng dalam,2200000000,150,82,5,2,2
393,Rumah Siap Huni Hanya 50m Dari Dan Ke Asem Baris Raya Tebet,2100000000,100,126,2,2,1
394,Rumah Siap Huni Akses 1mobil Di Tebet Timur,2450000000,150,135,5,2,0
395,Rumah Bagus Siap Huni Pinggir Jalan 2 Mbl Asem Baris Tebet,2150000000,120,135,3,2,1
396,Rumah Bagus Siap Huni Pinggir Jalan 2 Mbl Asem Baris Tebet,2300000000,130,150,4,1,0
397,Rumah siap huni lokasi strategis pinggir jalan raya asem baris jaksel,2000000000,120,94,2,2,0
398,Rumah Tua Dalam Lingkungan Yang Nyaman Di Kebon Baru Jakarta Selatan,2250000000,130,150,2,1,0
399,"Dijual rumah di Asem baris, Akses jalan 2 mobil",2000000000,100,111,2,2,1
400,Rumah baru siap huni di tebet barat,4000000000,216,135,5,4,2
401,TEBET RAYA Rumah Layak Huni Dekan Stasiun,22000000000,350,448,6,7,2
402,Dijual Rumah Komplek Tebet Lokasi Premium Tenang Jalan Lebar,13000000000,216,384,3,3,2
403,Dijual Cepat Rumah Di Tebet Dalam,9000000000,470,353,9,6,0
404,Rumah Baru Model Minimalis Di Tebet Timur Jakarta Selatan,6200000000,260,138,6,5,0
405,"Dijual Rumah Lama Hitung Tanah Di Tebet Jaksel, Lokasi TOP, Tenang, Asri",2400000000,120,149,3,2,0
406,TEBET RAYA Jalan Lebar Cocok Untuk Resto dan Kantor,15000000000,237,387,5,4,3
407,TEBET RAYA AREA KOMERSIL Rumah Siap Huni Bisa Dibangun 4 Lantai,22000000000,300,520,4,4,2
408,"3 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta",2200000000,120,100,3,2,1
409,"Jual Rumah Tebet 3-Lantai Akses 2 Mobil, Jakarta Selatan",5000000000,320,150,9,5,0
410,Rumah Second Terawat Dan Setrategis Tebet Jakarta Selatan,23000000000,350,565,5,3,4
411,Rumah tebet dekat mall kokas,2700000000,135,87,3,2,2
412,Rumah Baru di Jln Tebet Timur Jakarta Selatan,4595000000,170,136,5,4,2
413,"Dijual Rumah di Jalan Palbatu, dekat kota kasablanka, jalan 2 mobil",1300000000,100,75,3,2,0
414,"Dijual Cepat Rumah Hoek Tebet, jalan 2 mobil Harga Nego",12000000000,500,590,10,10,0
415,"Dijual Rumah 1,5 Lantai Di Tebet Dalam",21000000000,300,500,4,3,4
416,"Dijual Cepat Rumah Bagus di Tebet, Siap huni",3500000000,170,100,5,3,3
417,"Dijual Rumah Baru di Tebet, Elite",3900000000,179,142,5,4,2
418,"Dijual Brand New Rumah Tebet, Ada Swimming Pool",25000000000,700,619,5,4,10
419,"Dijual Rumah Baru di Tebet, Jalan 1 mobil Lebar, Jakarta Selatan",3900000000,179,142,5,4,2
420,"Dijual Rumah Elite di Tebet, Jakarta Selatan",1250000000,480,312,4,2,1
421,"Dijual Rumah Baru di Tebet, siap huni",3900000000,230,130,3,4,3
422,"Dijual Rumah Tebet Barat, Hitung Tanah Saja, Jarang Ada",3000000000,150,160,5,2,0
423,Dijual Rumah Cantik Tebet Lokasi Premium Nyaman Jalan Lebar,12000000000,240,303,6,6,4
424,Rumah Nyaman Jalan Lebar Strategis Di Kebon Baru Dekat Stasiun Tebet,5000000000,275,210,6,5,3
425,Rumah 2 Lantai Luas Murah Strategis Di Kebon Baru Dekat Stasiun Tebet,2300000000,150,132,4,3,1
426,Dijual Rumah Strategis Komplek Gudang Peluru Jakarta Selatan,9800000000,162,342,5,3,2
427,Rumah Murah Di Tebet Jaksel,6800000000,500,428,5,4,4
428,"Rumah 2 Lantai Di Tebet Barat, Blakang Perkantoran Mt Haryono",11000000000,600,391,7,5,4
429,"Rumah Di Pinggir Jalan Tebet Barat Raya, SHM, Investasi Bagus",11500000000,350,400,9,7,6
430,Dijual Cepat Rumah Tebet Barat Dalam Lokasi Strategis Jakarta Selatan,3600000000,130,163,3,2,2
431,"Rumah Tebet Bebas banjir, dekat pintu tol",22500000000,700,610,6,4,1
432,Rumah Mewah Dan Sangat Strategis Di Tebet,9500000000,340,240,7,4,2
433,"Tebet Mas, lokasi OK depan taman",13000000000,225,322,4,3,2
434,Rumah TEBET jak sel,10000000000,300,264,5,4,0
435,Rumah berada di kawasan elit di @Tebet Timur,5500000000,117,205,5,4,0
436,Rumah Di tebet Barat,3500000000,90,110,3,3,1
437,Rumah di tebet,3500000000,250,91,4,2,2
438,Rumah Murah Di Tebet Jakarta Selatan Baru ,3800000000,154,113,4,4,3
439,Rumah Siap Huni Di Tebet Lokasi Sangat Strategis Sekali,2800000000,250,90,3,3,1
440,Dijual Rumah Mewah Terawat Di Daerah Tebet Hrg Menarik,13750000000,600,429,6,4,1
441,Rumah Baru Tebet,6200000000,220,150,4,4,2
442,"Dijual Rumah Asri, Tebet, Jakarta Selatan",4600000000,200,147,4,3,1
443,Rumah Lama di tebet berada di pusat kota jakarta selatan,12000000000,322,322,4,3,2
444,di jual rumah bagus tebet,2500000000,94,78,2,2,2
445,Rumah Lama Tebet Dijual Cepet Dengan Lokasi Strategis,2500000000,160,135,3,2,2
446,Rumah Besar Bangunan Kokoh Siap Huni Di Kebon Baru Tebet Jak Sel,9200000000,450,700,8,4,2
447,Dijual rumah hitung tanah di tebet dalam komplek jalan lebar,6500000000,217,217,3,2,2
448,Rumah Siap Huni Dan Bagus Dijual Kebon Baru Tebet Jakarta Selatan,12000000000,450,700,8,4,0
449,Rumah Siap Huni Dijual Jaya Mandala Jakarta Selatan,35000000000,599,469,4,3,0
450,"Rumah Di Tebet Timur, Jalan 1 Mobil, Dekat 2 mobil",4200000000,120,143,6,3,2
451,"Rumah Di Tebet Barat Dalam, Jalan 2 Mobil, Strategis",5500000000,200,221,5,2,2
452,"Tebet rumah minimalis modern akses 2 mobil, jakarta selatan",3500000000,190,100,6,4,2
453,Rumah gang kebun baru tebet jakarta selatan,900000000,100,56,3,2,0
454,Rumah Dijual di Tebet Jakarta Selatan,3500000000,350,100,4,4,2
455,Rumah murah dan strategis di tebet timur jakarta selatan,7500000000,150,288,5,3,1
456,Rumah dua lantai di Tebet Barat Dalam Jakarta Selatan,3500000000,235,140,5,4,2
457,Rumah Jakarta Selatan Tebet,14000000000,200,475,5,3,0
458,"Rumah Siap Huni LT 170 M2 TERMURAH di Tebet Dalam, Jakarta Selatan",3500000000,210,170,6,2,2
459,Newly House dekat Taman Akses JALAN 2 MOBIl bentuk tanah NGANTONG di Tebet Barat,4950000000,225,110,5,4,2
460,Rumah Cantik 3 Lt Semi FURNISH di Tebet Utara,2600000000,210,91,5,3,1
461,Dijual Rumah Baru Di Tebet Timur Harga Bagus,4200000000,200,165,4,2,0
462,Rumah Arsitektur Klasik Dijual Di Tebet Barat Harga Bagus,4200000000,150,100,4,4,0
463,Dijual Rumah 3 Lantai Cocok Untuk Tempat Tinggal Dan Usaha Kost,1300000000,332,125,7,7,0
464,Rumah siap huni di Tebet - RPA,8500000000,550,440,8,5,5
465,Brand New Rumah Soho Tebet,8750000000,180,137,4,4,2
466,"Rumah Brand New Siap Huni Tebet Timur Dalam, Dekat Pspt",3900000000,200,130,3,3,1
467,Di jual rumah siap huni model classic di tebet menteng dalem jakarta selatan,6100000000,390,130,7,6,3
468,Rumah Cantik Tebet Jaksel. Dekat Cbd Kuningan Dan Mal Kokas,2500000000,150,90,3,2,1
469,Dijual Rumah Siap Huni di Tebet Jakarta Selatan,3500000000,350,100,4,4,2
470,"Rumah Klasik SUPER MEWAH Semi Furnished Tebet Timur, Jakarta Selatan",30900000000,1000,670,8,6,4
471,"Rumah Tua HITUNG TANAH TERMURAH di Area Komersial Jl. Johar, Menteng",55000000000,400,1075,4,3,4
472,"Rumah Tua Strategis Dijual Hitung Tanah Di Tebet, Jakarta Selatan",3500000000,225,360,4,2,1
473,Dekat Rumah Sakit Tebet Dan Gelael,3500000000,200,145,8,8,3
474,TEBET Rumah Jual Hitung Tanah Jalan Tiga Mobil Lebar,4500000000,150,200,3,2,2
475,"Rumah Lama Di Prime Area Tebet, Komersial",55000000000,1126,1224,4,4,2
476,Rumah Di Area Komersial Tebet Raya,22000000000,300,520,4,4,3
477,"Rumah Cantik Brand New, Tersisa 2 Unit",3200000000,150,86,5,4,2
478,"TEBET - Rumah Baru, Design Menarik di Tengah Kota Jakarta",6500000000,300,173,4,4,2
479,"Rumah di Tebet Timur Jalan 1 Mobil Lebar, Luas Tanah 135 m2",1900000000,130,135,5,2,1
480,"TEBET - Sangat Terawat, Area Tenang di Depan Taman",5990000000,350,220,5,5,2
481,"DIJUAL Cepat Rumah Baru Siap Huni Full Furnish, Tebet Barat",5500000000,300,173,4,4,2
482,"Tebet rumah mewah prime lokasi, jakarta selatan",16500000000,800,361,7,5,6
483,Rumah luas kolam renang di Tebet Jakarta Selatan,23000000000,700,619,5,5,10
484,Rumah jual tebet jl 2mobil 4. 5mly,4499999744,250,140,5,4,2
485,Dijual Rumah Tebet Barat Lokasi Premium Tenang Jalan 1 Mobil,3500000000,150,135,3,3,2
486,Dijual Rumah Baru Siap Huni Depan Taman Tebet,6000000000,220,150,4,4,2
487,"Rumah baru 100%, Tebet, Jakarta Selatan",3600000000,154,110,3,3,2
488,"4 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta",4300000000,180,135,4,4,2
489,TEBET Rumah Mewah Terawat Dekat Jalan Soepomo,7900000000,380,225,5,4,2
490,Dijual Rumah Di Asem Barus Tebet,27000000512,350,1069,4,4,5
491,"Dijual Rumah Di Barat Asem Baris,Kebun Baru",5000000000,320,150,5,5,3
492,Dijual Rumah Di Tebet Barat,3000000000,110,132,3,2,0
493,Rumah Didalam Kompleks Tebet,4900000000,280,170,5,4,3
494,Dijual Rumah Tebet Depan Taman Asri Jalan Muat 2 Mobil,3700000000,130,130,3,3,2
495,Rumah Tebet Asam Baris,2900000000,160,160,3,3,1
496,Rumah Tebet Barat,3700000000,175,89,3,3,2
497,Dijual Rumah Hitung Tanah Tebet Timur Lokasi Strategis Jalan 1 Mobil,3600000000,100,180,4,2,1
498,Dijual Rumah Hitung Tanah Tebet Utara IV,2333333000,80,90,2,2,1
499,Rumah Mewah Brand New Di Menteng Dalam Tebet Jakarta Selatan,25000000000,890,271,5,6,3
500,"TEBET - Rumah Bagus, Jalan 1 Mobil, Siap Huni",6500000000,275,150,4,5,1
501,"TEBET - RUMAH BARU, Design Bagus",6500000000,270,140,3,3,4
502,"Tebet-Area Komersi, Jalan 3 Mobil Lebar",22000000000,300,520,5,4,3
503,"TEBET - SIAP HUNI, Jalan 1 Mobil",2850000000,102,96,3,2,2
504,"TEBET - RUMAH BARU, Jalan 3 Mobil Lebar",30000000000,900,672,5,6,4
505,rumah second tebet,25000000000,350,565,4,4,4
506,Rumah Dijual Daerah Bukit Duri Jakarta Selatan,1250000000,120,136,5,2,0
507,Rumah Hitung Tanah Di Gudang Peluru,4000000000,194,194,3,3,1
508,Dijual Rmh Secont Tebet,6000000000,250,141,4,4,3
509,"Rumah Dekat Pusat Kota Selangkah Menuju Terminal Kampung Melayu, Stasiun Tebet Dan Kota Casablanca",2600000000,147,154,4,3,1
510,Dijual Rumah siap huni baru di tebet barat V,3500000000,126,135,4,3,0
511,Rumah baru 2 lantai di Tebet timur,3500000000,170,112,3,4,2
512,Di Jual Rmh Tbt Siap Huni,12500000000,600,208,4,5,3
513,Rumah bagus dekat taman dan pasar pspt siap huni acces mudah kemana saja,3950000000,260,133,5,5,2
514,Rumah Tebet Timur Dalam,2300000000,100,140,3,2,1
515,Jual Rumah 2 Lantai Di Tebet Jakarta Selatan,4000000000,216,135,5,4,1
516,Rumah Mewah Siap huni Tebet,29000000000,900,672,5,6,4
517,"For Sale British Tuscan House At Tebet Mas, Jaksel",37000000000,500,720,5,5,2
518,Hunian Nyaman Di Gudang Peluru,8000000000,382,404,6,3,1
519,"Rumah Siap Huni 2 Lantai,Lokasi Strategis Menteng Dalam Tebet Jaksel",5000000000,180,127,4,4,2
520,TEBET Rumah Lama Hitung Tanah Bangunan Masih Layak Huni,7200000000,200,256,5,3,2
521,Rumah Mewah Dijual Tebet Jakarta Selatan,17500000000,800,365,5,4,6
522,Dijual rumah mewah tebet barat,14800000000,500,310,4,4,4
523,Rumah Tebet segera jual,3750000000,196,196,7,5,2
524,Rumah Baru Lux siap huni strategis di Menteng Dalam Tebet Jakarta Selatan,6200000000,390,130,7,6,3
525,"5 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta",4000000000,200,160,5,4,2
526,"Tebet Barat Rumah Full Furnished, Jakarta Selatan",6200000000,251,140,5,4,5
527,Dijual Rumah Pinggir Jalan Di Asem Baris Tebet Jakarta Selatan,8000000000,252,200,4,3,2
528,Dijual Rumah Mewah Lokasi Strategis Di Tebet Barat Jakarta Selatan,8800000000,400,230,5,5,3
529,Rumah Siap Huni Di Tebet Jakarta Selatan,3200000000,150,80,5,5,1
530,Dijual Rumah Tebet Raya Lokasi Premium Area Komersial Jalan Raya,18500000000,300,520,4,3,3
531,TEBET TIMUR - RUMAH MEWAH CLASSIC MODERN,18500000000,800,361,5,4,4
532,"Dijual Rumah Tua Hitung Tanah di Tebet, Jakarta Selatan",2250000000,135,135,4,4,0
533,Dijual Rumah Lux Tebet Jakarta Selatan,16000000000,140,246,6,6,1
534,"Rumah Jual Hitung Tanah, Tebet Timur",5999999999,240,240,4,4,3
535,Rumah Dijual Hitung Tanah Di Tebet Barat,8555555555,304,304,3,2,3
536,"TEBET - Rumah Bagus, Terawat, Dekat ke Kuningan",4600000000,215,135,9,8,2
537,TEBET - Siap Huni,4700000000,222,145,4,3,2
538,Dijual Rumah Siap Huni BU di Kebon Baru Tebet Jakarta Timur,2500000000,165,135,4,3,1
539,Dijual Rumah Cantik Tebet Lokasi Premium Nyaman Jalan 2 Mobil,8500000000,260,256,4,3,4
540,"Rumah Jl. Rasamala Menteng Dalam, Hitung Tanah",5100000000,200,305,5,2,3
541,Dijual rumah second Tebet Jakarta Selatan berada dalam lingkungan aman,8000000000,330,240,5,5,3
542,Dijual Rumah Di Kebon Baru Tebet,3975000000,325,226,6,5,1
543,Rumah tebet timur dalam,5800000000,340,173,5,4,2
544,Rumah Mewah Siap Huni Di Tebet,5500000000,420,210,6,5,2
545,Rumah Asri Dan Sangat Strategis Di Tebet,4500000000,120,154,6,4,1
546,Rumah Tebet utara,2700000000,94,78,3,2,1
547,Rumah Second Fully Furnish Siap Huni Turun Harga BU Di Menteng Dalam Tebet Jakarta Selatan,4300000000,180,127,4,4,2
548,Dijual Rumah Minimalist Modern 3lnt Tebet,3700000000,150,90,4,4,3
549,Dijual Rumah 2 Lnt Tebet,3800000000,200,130,4,4,2
550,Dijual rumah kos tebet,2600000000,200,135,10,3,2
551,Dijual Rumah Kondisi Layak Huni Tebet,4200000000,400,225,5,4,2
